Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability,geometry,index_right,Population density (people per sq. km.),quantile,length_norm,quantile_norm,length_pop,pop_norm,length_popden
0,4.0,,23.7060278,90.443333,,sourcesink,10000,N1,,0.004,21537.0,660.0,0.5423171733771569,3.0,0.1530714504012111,POINT (90.443333 23.7060278),1498.0,21545.0,7.0,0.000401888877725309,1.0,0.5002009444388626,0.3110984583041346,0.15575017359092994
1,1800.0,,23.70238323,90.45109704,0,link,10001,N1,,1.804,19357.0,402.0,0.3303204601479046,,,POINT (90.45109704 23.70238323),755.0,68732.0,7.0,0.18084999497638904,1.0,0.5904249974881945,1.0,0.5904249974881945
2,11.3,A,23.69873866,90.45886108,,bridge,10002,N1,,1.8153,19357.0,402.0,0.3303204601479046,,,POINT (90.45886108 23.69873866),1498.0,21545.0,7.0,0.0011353360795739978,1.0,0.500567668039787,0.3110984583041346,0.1561168971918543
3,3125.0,,23.69670125,90.473318,0,link,10003,N1,,4.940300000000001,16657.0,85.0,0.0698438783894823,,,POINT (90.473318 23.69670125),1496.0,13001.0,7.0,0.31397568572289763,1.0,0.6569878428614488,0.18636124737210932,0.25016846654750347
4,6.6,A,23.69466384,90.48777492,,bridge,10004,N1,,4.9469,16657.0,85.0,0.0698438783894823,,,POINT (90.48777492 23.69466384),,,7.0,0.0006631166482467597,1.0,0.5003315583241233,0.18636124737210932,0.09351218201017804
5,3838.0,,23.70037357,90.50465101,0,link,10005,N1,,8.7849,24589.0,153.0,0.1257189811010682,,,POINT (90.50465101 23.70037357),,,7.0,0.38561237817743393,1.0,0.6928061890887169,0.18636124737210932,0.2859868127747716
6,4.0,,23.7060833,90.5215271,N2,intersection,10006,N1,,8.7889,24589.0,153.0,0.1257189811010682,,,POINT (90.5215271 23.7060833),1126.0,4740.0,6.0,0.000401888877725309,0.8333333333333334,0.41686761110552933,0.06575566456435412,0.03307877672103972
7,213.0,,23.7055716,90.52237062,0,link,10007,N1,,9.0019,24589.0,153.0,0.1257189811010682,,,POINT (90.52237062 23.7055716),1126.0,4740.0,6.0,0.0214005827388727,0.8333333333333334,0.42736695803610303,0.06575566456435412,0.04357812365161341
8,394.23,A,23.70505989,90.52321415,,bridge,10008,N1,,9.39613,24589.0,153.0,0.1257189811010682,,,POINT (90.52321415 23.70505989),1126.0,4740.0,6.0,0.039609163066412136,0.8333333333333334,0.43647124819987276,0.06575566456435412,0.05268241381538313
9,1567.0,,23.70072999,90.52915656,0,link,10009,N1,,10.96313,24589.0,153.0,0.1257189811010682,,,POINT (90.52915656 23.70072999),1126.0,4740.0,6.0,0.15743996784888978,0.8333333333333334,0.4953866505911116,0.06575566456435412,0.11159781620662196
